star_names,distance,mass,radius,luminosity,solar_mass,solar_radius,apparent_magintude,star_gravity
Rho Cassiopeiae,"08,154","347,000530,000",636981.0,"347,000 - 530,000",0.0,0.0,4.1,0.0
P Cygni,"05,545","610,000",76.0,"610,000",0.0,7.809988000000001,4.82,0
La Superba,"01,000","2,4725,800",129342.0,"2,472 - 5,800",0.0,0.0,4.86,0
VV Cephei,"04,900","200,000",5161050.0,"200,000",0.0,0.0,4.91,2.8333467348794618e+32
61 Cygni,011.41,0.153,0.665,0.153,0.000146051964,0.068337395,5.20,0.0
R Doradus,0178,"4,350",298.0,"4,350",0.0,30.623374,5.4,2.2248051296236177e+33
Polaris Australis,0281,38,3.74,38,0.036274344,0.38433362,5.47,0.0
R Coronae Borealis,"04,566","10,000",85.0,"10,000",0.0,8.734855,5.71,4.819469336024913e+32
54 Piscium,036.1,0.52,0.94,0.52,0.0004963857599999,0.0965972199999999,5.88,0.0
Mira,0300,"9,000",370.0,"9,000",0.0,38.02231,6.57,0
RW Cephei,"014,000","417,000",1158.0,"417,000",0.0,0.0,6.65,2.266959332079644e+32
Lacaille 8760,012.87,0.072,0.51,0.072,6.8730336e-05,0.05240913,6.67,0
V838 Monocerotis,"019,896","15,000",380750.0,"15,000",0.0,0.0,6.75,1.6002737728947686e+33
HD 140283,0190,3.83,1.4,3.83,0.0036560720399999,0.1438681999999999,7.25,7.509302787513821e+31
II Pegasi,0130,1.06,3.4,1.06,0.00101186328,0.3493942,7.4,0
VY Canis Majoris,"03,900","178,000 - 270,000",1420.0,"178,000 - 270,000",0.0,0.0,8.05,0.0
Pistol Star,"025,000","1,700,000",320.0,"1,700,000",0.0,32.884159999999994,8.3,0.0
S Doradus,"0169,000","910,000",380.0,"910,000",0.0,39.04994,8.6,0.0
UY Scuti,"05,100","86,30087,100",755.0,"86,300 - 87,100",0.0,77.58606499999998,8.9,7.1657167637455e+31
Barnard's Star,05.98,0.0035,0.2,0.0035,3.341058e-06,0.0205525999999999,9.5,0
Luhman 16,06.52,0,0.0,0,0.0,0.0,10.7,6.187539554726277e+31
Proxima Centauri,04.25,0.0017,0.15,0.0017,1.6227996000000002e-06,0.0154144499999999,11.13,1.5352646990788532e+33
KIC 8462852,"01,470",4.68,1.58,4.68,0.00446747184,0.16236554,11.71,0.0
R136a1,"0163,000","8,710,000",32.0,"8,710,000",0.0,3.288416,12.23,0.0
Melnick 42,"0163,000","3,600,000",21.1,"3,600,000",0.0,2.1682993,12.78,0.0
WR 102,"018,134","282,000",0.39,"282,000",0.0,0.04007757,14.10,0.0
VFTS 352,"0164,000","330,000",14.47,"330,000",0.0,1.48698061,14.38,8.188555020298906e+32
YBP 1194,"02,772",0.98,0.99,0.98,0.00093549624,0.10173537,14.68,6.128115405341144e+31
Gliese 1214,047.5,0.0033,0.21,0.0033,3.1501404e-06,0.02158023,14.71,0
NML Cygni,"05,251","229,000",16402770.0,"229,000",0.0,0.0,16.6,3.275756234855086e+31
VB 10,018.72,0.0004,0.1,0.0004,3.818352e-07,0.0102762999999999,17.30,0
"340589,000",5401,730,340589.0,"000""",0.0,0.0,18.46,2.8435383983117057e+31
TRAPPIST-1,039.6,0.0005,0.12,0.0005,4.77294e-07,0.0123315599999999,18.80,1.4394548084476788e+31
2MASS J0523-1403,040.3,0.00013,0.086,0.00013,1.2409643999999998e-07,0.0088376179999999,21.05,0
WISE 0855−0714,07.27,0,0.0,0,0.0,0.0,25,0
Icarus,"014,400,000,000","850,000",0.0,"850,000",0.0,0.0,28.4,extra
